Var1,Route_ID,Branch_ID,FL_Name,Start_Date_of_Route,Start_Time_of_Route,End_Time_of_Route,Break_Duration_mins,Percentage_Shift_Time_used,Percentage_Van_Weight_used,Percentage_Ambient_Capacity_Used,Percentage_Chilled_Capacity_Used,Percentage_Frozen_Capacity_Used,Percentage_Total_Crate_capacity_Used,Planned_total_Route_time,Planned_Total_Wait_time_mins,Planned_total_Mileage,Planned_Total_Driving_time,Number_Orders,Van_Type,Loaded_Ambient_Crates,Loaded_Chilled_Crates,Loaded_Frozen_Crates,Loaded_Kgs,Loaded_Total_Crates,Total_Dwell_Time,Shift_Start_Time,Shift_End_Time,Total_Shift_Hours,Total_Shift_Time_Spent_at_FL,MPO,HPO,energyUsedByRefrige,equivalMileage,newJourneyMileage,Energy_Required,Energy_Needed,vannumber_ev_,vannumber_d_,chargertype
349098,2050432,513,Coulsdon DFC,02/01/2019 00:00:00,02-Jan-2019 05:46:00,02-Jan-2019 14:00:00,0,0.9677,0.867801243,1,0.473684211,0.666666667,0.768518519,08:14:00,0,54.64,0,18,box van,55,18,10,694.240994,83,183,02/01/2019 05:45,02/01/2019 14:15,01/01/1900 08:30,16,3.035555556,02/01/1900 00:17,4.11666666666667,8.94927536231884,63.5892753623188,29.2510666666667,29.2510666666667,0,1,45
349100,2050434,513,Coulsdon DFC,02/01/2019 00:00:00,02-Jan-2019 05:46:00,02-Jan-2019 14:17:59,0,1.0042,0.887507505,0.945454545,0.578947368,0.533333333,0.759259259,08:32:00,0,49.171,0,21,box van,52,22,8,710.006004,82,242,02/01/2019 05:45,02/01/2019 14:15,01/01/1900 08:30,0,2.34147619,02/01/1900 00:11,4.26666666666667,9.27536231884058,58.4463623188406,26.8853266666667,26.8853266666667,0,2,45
349085,2050419,513,Coulsdon DFC,02/01/2019 00:00:00,02-Jan-2019 05:50:59,02-Jan-2019 14:05:00,0,0.9684,0.921964999,1.036363636,0.473684211,0.6,0.777777778,08:14:00,0,52.982,0,15,box van,57,18,9,737.5719995,84,178,02/01/2019 05:30,02/01/2019 14:00,01/01/1900 08:30,16,3.532133333,02/01/1900 00:19,4.11666666666667,8.94927536231884,61.9312753623188,28.4883866666667,28.4883866666667,0,3,45
349101,2050435,513,Coulsdon DFC,02/01/2019 00:00:00,02-Jan-2019 06:17:00,02-Jan-2019 13:23:00,0,0.9452,0.844028743,0.963636364,0.473684211,0.8,0.768518519,07:06:00,0,43.472,0,16,box van,53,18,12,675.222994,83,165,02/01/2019 06:00,02/01/2019 13:30,01/01/1900 07:30,24,2.717,02/01/1900 00:12,3.55,7.71739130434783,51.1893913043478,23.54712,23.54712,0,4,45
350017,2051393,513,Coulsdon DFC,03/01/2019 00:00:00,03-Jan-2019 05:15:00,03-Jan-2019 13:53:00,0,1.0157,0.867461256,0.945454545,0.552631579,0.6,0.759259259,08:38:00,0,50.488,0,18,box van,52,21,9,693.969005,82,213,03/01/2019 05:15,03/01/2019 13:45,01/01/1900 08:30,0,2.804888889,02/01/1900 00:15,4.31666666666667,9.38405797101449,59.8720579710145,27.5411466666667,27.5411466666667,0,1,45
350072,2051448,513,Coulsdon DFC,03/01/2019 00:00:00,03-Jan-2019 06:00:00,03-Jan-2019 11:48:00,0,0.6825,0.974537496,1.018181818,0.473684211,0.666666667,0.777777778,05:48:00,0,33.077,0,15,box van,56,18,10,779.629997,84,147,03/01/2019 06:00,03/01/2019 14:30,01/01/1900 08:30,161,2.205133333,02/01/1900 00:13,2.9,6.30434782608696,39.381347826087,18.11542,18.11542,0,2,45
350101,2051477,513,Coulsdon DFC,03/01/2019 00:00:00,03-Jan-2019 07:31:59,03-Jan-2019 16:25:00,0,1.1847,0.879843748,1.018181818,0.5,0.733333333,0.796296296,08:53:00,0,86.771,0,16,box van,56,19,11,703.874998,86,157,03/01/2019 07:30,03/01/2019 15:00,01/01/1900 07:30,0,5.4231875,02/01/1900 00:19,4.44166666666667,9.65579710144927,96.4267971014493,44.3563266666667,44.3563266666667,0,3,45
350031,2051407,513,Coulsdon DFC,03/01/2019 00:00:00,03-Jan-2019 13:03:00,03-Jan-2019 20:38:00,0,1.0103,0.984436256,1.018181818,0.526315789,0.533333333,0.777777778,07:35:00,0,67.947,0,16,box van,56,20,8,787.549005,84,184,03/01/2019 12:45,03/01/2019 20:15,01/01/1900 07:30,0,4.2466875,02/01/1900 00:14,3.79166666666667,8.2427536231884,76.1897536231884,35.0472866666667,35.0472866666667,0,2,45
351190,2052611,513,Coulsdon DFC,04/01/2019 00:00:00,04-Jan-2019 05:29:59,04-Jan-2019 13:39:00,0,0.9607,0.907786249,0.963636364,0.5,0.8,0.777777778,08:09:00,0,54.908,0,19,box van,53,19,12,726.228999,84,214,04/01/2019 05:30,04/01/2019 14:00,01/01/1900 08:30,20,2.889894737,02/01/1900 00:12,4.075,8.85869565217391,63.7666956521739,29.33268,29.33268,0,1,45
351224,2052645,513,Coulsdon DFC,04/01/2019 00:00:00,04-Jan-2019 05:50:59,04-Jan-2019 14:21:00,0,0.9994,0.908889998,1,0.552631579,0.533333333,0.777777778,08:30:00,0,43.004,0,15,box van,55,21,8,727.111998,84,159,04/01/2019 05:45,04/01/2019 14:15,01/01/1900 08:30,0,2.866933333,02/01/1900 00:20,4.25,9.23913043478261,52.2431304347826,24.03184,24.03184,0,2,45
351229,2052650,513,Coulsdon DFC,04/01/2019 00:00:00,04-Jan-2019 06:01:59,04-Jan-2019 13:31:59,0,1.0004,0.915536251,1.036363636,0.552631579,0.6,0.805555556,07:30:00,0,40.009,0,19,box van,57,21,9,732.429001,87,211,04/01/2019 06:00,04/01/2019 13:30,01/01/1900 07:30,0,2.105736842,02/01/1900 00:11,3.75,8.15217391304348,48.1611739130435,22.15414,22.15414,0,3,45
351227,2052648,513,Coulsdon DFC,04/01/2019 00:00:00,04-Jan-2019 06:03:59,04-Jan-2019 13:31:00,0,0.8752,0.850147508,1,0.526315789,0.466666667,0.759259259,07:27:00,0,37.193,0,14,box van,55,20,7,680.1180065,82,187,04/01/2019 05:45,04/01/2019 14:15,01/01/1900 08:30,63,2.656642857,02/01/1900 00:16,3.725,8.09782608695652,45.2908260869565,20.83378,20.83378,0,4,45
351270,2052691,513,Coulsdon DFC,04/01/2019 00:00:00,04-Jan-2019 07:15:00,04-Jan-2019 13:53:00,0,0.8849,0.927648746,0.945454545,0.473684211,0.866666667,0.768518519,06:38:00,0,46.919,0,15,box van,52,18,13,742.118997,83,149,04/01/2019 07:15,04/01/2019 14:45,01/01/1900 07:30,51,3.127933333,02/01/1900 00:12,3.31666666666667,7.21014492753623,54.1291449275362,24.8994066666667,24.8994066666667,0,5,45
351254,2052675,513,Coulsdon DFC,04/01/2019 00:00:00,04-Jan-2019 07:20:00,04-Jan-2019 14:13:00,0,0.9173,0.85856,1,0.447368421,0.666666667,0.759259259,06:53:00,0,36.026,0,16,box van,55,17,10,686.848,82,186,04/01/2019 06:45,04/01/2019 14:15,01/01/1900 07:30,37,2.251625,02/01/1900 00:12,3.44166666666667,7.48188405797101,43.507884057971,20.0136266666667,20.0136266666667,0,6,45
352334,2053793,513,Coulsdon DFC,05/01/2019 00:00:00,05-Jan-2019 05:16:00,05-Jan-2019 12:53:00,0,1.0148,0.970321244,1.072727273,0.5,0.666666667,0.814814815,07:37:00,0,73.424,0,16,box van,59,19,10,776.256995,88,176,05/01/2019 05:15,05/01/2019 12:45,01/01/1900 07:30,0,4.589,02/01/1900 00:15,3.80833333333333,8.27898550724638,81.7029855072464,37.5833733333333,37.5833733333333,0,1,45
352359,2053818,513,Coulsdon DFC,05/01/2019 00:00:00,05-Jan-2019 05:29:59,05-Jan-2019 13:02:00,0,1.006,0.955146251,0.981818182,0.473684211,0.933333333,0.796296296,07:32:00,0,58.437,0,17,box van,54,18,14,764.117001,86,185,05/01/2019 05:30,05/01/2019 13:00,01/01/1900 07:30,0,3.437470588,02/01/1900 00:13,3.76666666666667,8.18840579710145,66.6254057971015,30.6476866666667,30.6476866666667,0,2,45
352367,2053826,513,Coulsdon DFC,05/01/2019 00:00:00,05-Jan-2019 05:53:00,05-Jan-2019 14:21:00,0,0.9955,0.930788744,1.090909091,0.473684211,0.466666667,0.787037037,08:28:00,0,45.432,0,18,box van,60,18,7,744.630995,85,211,05/01/2019 05:30,05/01/2019 14:00,01/01/1900 08:30,2,2.524,02/01/1900 00:16,4.23333333333333,9.20289855072464,54.6348985507246,25.1320533333333,25.1320533333333,0,3,45
352374,2053833,513,Coulsdon DFC,05/01/2019 00:00:00,05-Jan-2019 05:54:00,05-Jan-2019 14:02:00,0,0.9587,0.874363756,1,0.473684211,0.666666667,0.768518519,08:08:00,0,55.522,0,18,box van,55,18,10,699.491005,83,186,05/01/2019 05:45,05/01/2019 14:15,01/01/1900 08:30,21,3.084555556,02/01/1900 00:14,4.06666666666667,8.84057971014493,64.3625797101449,29.6067866666667,29.6067866666667,0,4,45
352382,2053842,513,Coulsdon DFC,05/01/2019 00:00:00,05-Jan-2019 06:14:59,05-Jan-2019 14:21:00,0,1.0804,0.979414999,0.981818182,0.578947368,0.8,0.814814815,08:06:00,0,66.447,0,19,box van,54,22,12,783.531999,88,196,05/01/2019 06:15,05/01/2019 13:45,01/01/1900 07:30,0,3.497210526,02/01/1900 00:14,4.05,8.80434782608696,75.251347826087,34.61562,34.61562,0,5,45
