Var1,Route_ID,Branch_ID,FL_Name,Start_Date_of_Route,Start_Time_of_Route,End_Time_of_Route,Break_Duration_mins,Percentage_Shift_Time_used,Percentage_Van_Weight_used,Percentage_Ambient_Capacity_Used,Percentage_Chilled_Capacity_Used,Percentage_Frozen_Capacity_Used,Percentage_Total_Crate_capacity_Used,Planned_total_Route_time,Planned_Total_Wait_time_mins,Planned_total_Mileage,Planned_Total_Driving_time,Number_Orders,Van_Type,Loaded_Ambient_Crates,Loaded_Chilled_Crates,Loaded_Frozen_Crates,Loaded_Kgs,Loaded_Total_Crates,Total_Dwell_Time,Shift_Start_Time,Shift_End_Time,Total_Shift_Hours,Total_Shift_Time_Spent_at_FL,MPO,HPO,energyUsedByRefrige,equivalMileage,newJourneyMileage,Energy_Required,Energy_Needed,vannumber_ev_,vannumber_d_,chargertype
734778,2696983,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:27:59,02-Jan-2020 13:30:00,0,0.9461,0.765032769,0.945454545,0.526315789,0.666666667,0.759259259,08:02:00,0,45.654,0,17,T29-885kg,52,20,10,677.054001,82,176,02/01/2020 05:15,02/01/2020 13:45,01/01/1900 08:30,27,2.685529412,01/01/1900 00:13,4.01666666666667,8.73188405797101,54.385884057971,25.0175066666667,25.0175066666667,0,1,22
734789,2696994,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 05:59:00,02-Jan-2020 14:27:59,0,0.998,0.825770619,1,0.5,0.6,0.768518519,08:29:00,0,54.039,0,15,T29-885kg,55,19,9,730.806998,83,194,02/01/2020 05:45,02/01/2020 14:15,01/01/1900 08:30,1,3.6026,01/01/1900 00:19,4.24166666666667,9.22101449275362,63.2600144927536,29.0996066666667,29.0996066666667,0,2,22
734795,2697000,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 06:10:00,02-Jan-2020 14:24:00,0,0.9682,0.826390957,0.963636364,0.5,0.666666667,0.759259259,08:14:00,0,37.219,0,18,T29-885kg,53,19,10,731.355997,82,241,02/01/2020 06:00,02/01/2020 14:30,01/01/1900 08:30,16,2.067722222,01/01/1900 00:11,4.11666666666667,8.94927536231884,46.1682753623188,21.2374066666667,21.2374066666667,0,3,22
734857,2697062,513,Coulsdon DFC,02/01/2020 00:00:00,02-Jan-2020 13:44:59,02-Jan-2020 21:13:59,0,0.9983,0.774209036,0.963636364,0.5,0.733333333,0.768518519,07:29:00,0,54.425,0,16,T29-885kg,53,19,11,685.174997,83,178,02/01/2020 13:45,02/01/2020 21:15,01/01/1900 07:30,0,3.4015625,01/01/1900 00:16,3.74166666666667,8.13405797101449,62.5590579710145,28.7771666666667,28.7771666666667,0,4,22
736087,2697828,513,Coulsdon DFC,03/01/2020 00:00:00,03-Jan-2020 06:07:00,03-Jan-2020 14:38:59,0,1.003,0.721167229,0.872727273,0.526315789,0.933333333,0.759259259,08:32:00,0,37.454,0,17,T29-885kg,48,20,14,638.232998,82,189,03/01/2020 06:00,03/01/2020 14:30,01/01/1900 08:30,0,2.203176471,01/01/1900 00:15,4.26666666666667,9.27536231884058,46.7293623188406,21.4955066666667,21.4955066666667,0,1,22
736086,2697827,513,Coulsdon DFC,03/01/2020 00:00:00,03-Jan-2020 06:42:00,03-Jan-2020 14:42:00,0,0.9418,0.855164971,0.945454545,0.5,0.866666667,0.777777778,08:00:00,0,48.248,0,16,T29-885kg,52,19,13,756.820999,84,207,03/01/2020 06:00,03/01/2020 14:30,01/01/1900 08:30,29,3.0155,01/01/1900 00:15,4,8.69565217391304,56.9436521739131,26.19408,26.19408,0,2,22
736108,2697849,513,Coulsdon DFC,03/01/2020 00:00:00,03-Jan-2020 06:48:59,03-Jan-2020 13:31:00,0,0.8927,0.805550278,1.036363636,0.421052632,0.6,0.759259259,06:42:00,0,40.648,0,14,T29-885kg,57,16,9,712.911996,82,161,03/01/2020 06:45,03/01/2020 14:15,01/01/1900 07:30,48,2.903428571,01/01/1900 00:15,3.35,7.28260869565217,47.9306086956522,22.04808,22.04808,0,3,22
736110,2697851,513,Coulsdon DFC,03/01/2020 00:00:00,03-Jan-2020 06:50:00,03-Jan-2020 13:54:59,0,0.9445,0.760793226,0.909090909,0.526315789,0.8,0.759259259,07:05:00,0,48.596,0,18,T29-885kg,50,20,12,673.302005,82,179,03/01/2020 06:45,03/01/2020 14:15,01/01/1900 07:30,24,2.699777778,01/01/1900 00:12,3.54166666666667,7.69927536231884,56.2952753623188,25.8958266666667,25.8958266666667,0,4,22
736113,2697854,513,Coulsdon DFC,03/01/2020 00:00:00,03-Jan-2020 06:50:00,03-Jan-2020 14:03:00,0,0.9631,0.927828247,1,0.578947368,0.933333333,0.842592593,07:13:00,0,44.15,0,18,T29-885kg,55,22,14,821.127999,91,192,03/01/2020 06:45,03/01/2020 14:15,01/01/1900 07:30,16,2.452777778,01/01/1900 00:11,3.60833333333333,7.84420289855072,51.9942028985507,23.9173333333333,23.9173333333333,0,5,22
737338,2699150,513,Coulsdon DFC,04/01/2020 00:00:00,04-Jan-2020 06:06:00,04-Jan-2020 15:43:00,0,1.1329,0.851098299,1.072727273,0.421052632,0.533333333,0.768518519,09:37:00,0,52.899,0,16,T29-885kg,59,16,8,753.221995,83,214,04/01/2020 06:00,04/01/2020 14:30,01/01/1900 08:30,0,3.3061875,01/01/1900 00:22,4.80833333333333,10.4528985507246,63.3518985507246,29.1418733333333,29.1418733333333,0,1,22
