Var1,Route_ID,Branch_ID,FL_Name,Start_Date_of_Route,Start_Time_of_Route,End_Time_of_Route,Break_Duration_mins,Percentage_Shift_Time_used,Percentage_Van_Weight_used,Percentage_Ambient_Capacity_Used,Percentage_Chilled_Capacity_Used,Percentage_Frozen_Capacity_Used,Percentage_Total_Crate_capacity_Used,Planned_total_Route_time,Planned_Total_Wait_time_mins,Planned_total_Mileage,Planned_Total_Driving_time,Number_Orders,Van_Type,Loaded_Ambient_Crates,Loaded_Chilled_Crates,Loaded_Frozen_Crates,Loaded_Kgs,Loaded_Total_Crates,Total_Dwell_Time,Shift_Start_Time,Shift_End_Time,Total_Shift_Hours,Total_Shift_Time_Spent_at_FL,MPO,HPO,energyUsedByRefrige,equivalMileage,newJourneyMileage,Energy_Required,Energy_Needed,vannumber_ev_,vannumber_d_,chargerType
734228,2695865,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:20:59,01-Jan-2020 14:46:00,0,0.9577,0.582607918,0.690909091,0.342105263,0.333333333,0.518518519,07:25:00,0,39.692,0,11,T29-885kg,38,13,5,515.608007,56,135,01/01/2020 07:15,01/01/2020 15:00,01/01/1900 07:45,19,3.608363636,01/01/1900 00:25,3.70833333333333,8.06159420289855,47.7535942028986,21.9666533333333,21.9666533333333,1,0,22
734230,2695867,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:30:00,01-Jan-2020 15:03:59,0,1.0105,0.662216946,0.781818182,0.421052632,0.466666667,0.611111111,07:34:00,0,41.736,0,15,T29-885kg,43,16,7,586.061997,66,173,01/01/2020 07:30,01/01/2020 15:00,01/01/1900 07:30,0,2.7824,01/01/1900 00:18,3.78333333333333,8.22463768115942,49.9606376811594,22.9818933333333,22.9818933333333,2,0,22
734231,2695868,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:30:00,01-Jan-2020 15:19:00,0,1.0105,0.333980791,0.527272727,0.263157895,0.4,0.416666667,07:49:00,0,56.261,0,10,T29-885kg,29,10,6,295.573,45,133,01/01/2020 07:30,01/01/2020 15:15,01/01/1900 07:45,0,5.6261,01/01/1900 00:26,3.90833333333333,8.4963768115942,64.7573768115942,29.7883933333333,29.7883933333333,3,0,22
734227,2695864,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:31:00,01-Jan-2020 15:07:00,0,1.014,0.857489267,0.963636364,0.289473684,0.6,0.675925926,07:36:00,0,45.068,0,12,T29-885kg,53,11,9,758.878001,73,181,01/01/2020 07:30,01/01/2020 15:00,01/01/1900 07:30,0,3.755666667,01/01/1900 00:20,3.8,8.26086956521739,53.3288695652174,24.53128,24.53128,4,0,22
734229,2695866,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:41:00,01-Jan-2020 14:31:00,0,0.9096,0.379971744,0.490909091,0.184210526,0.4,0.37037037,06:50:00,0,39.093,0,7,T29-885kg,27,7,6,336.274993,40,101,01/01/2020 07:30,01/01/2020 15:00,01/01/1900 07:30,40,5.584714286,01/01/1900 00:38,3.41666666666667,7.42753623188406,46.5205362318841,21.3994466666667,21.3994466666667,5,0,22
734232,2695869,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:44:59,01-Jan-2020 15:05:00,0,0.9798,0.590332198,0.727272727,0.394736842,0.333333333,0.555555556,07:20:00,0,40.03,0,12,T29-885kg,40,15,5,522.443995,60,139,01/01/2020 07:45,01/01/2020 15:15,01/01/1900 07:30,9,3.335833333,01/01/1900 00:22,3.66666666666667,7.97101449275362,48.0010144927536,22.0804666666667,22.0804666666667,6,0,22
734233,2695870,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:44:59,01-Jan-2020 13:31:59,0,0.7731,0.423500564,0.527272727,0.289473684,0.266666667,0.407407407,05:47:00,0,33.81,0,9,T29-885kg,29,11,4,374.797999,44,101,01/01/2020 07:45,01/01/2020 15:15,01/01/1900 07:30,102,3.756666667,01/01/1900 00:26,2.89166666666667,6.28623188405797,40.096231884058,18.4442666666667,18.4442666666667,7,0,22
734234,2695871,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:44:59,01-Jan-2020 15:16:00,0,1.0027,0.61317288,0.763636364,0.447368421,0.666666667,0.638888889,07:31:00,0,49.07,0,14,T29-885kg,42,17,10,542.657999,69,190,01/01/2020 07:45,01/01/2020 15:15,01/01/1900 07:30,0,3.505,01/01/1900 00:16,3.75833333333333,8.17028985507246,57.2402898550725,26.3305333333333,26.3305333333333,8,0,22
734241,2695880,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:49:00,01-Jan-2020 15:38:00,0,1.0075,0.508320903,0.709090909,0.394736842,0.533333333,0.574074074,07:49:00,0,60.109,0,15,T29-885kg,39,15,8,449.863999,62,156,01/01/2020 07:45,01/01/2020 15:30,01/01/1900 07:45,0,4.007266667,01/01/1900 00:18,3.90833333333333,8.4963768115942,68.6053768115942,31.5584733333333,31.5584733333333,9,0,22
734242,2695881,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 07:57:00,01-Jan-2020 15:30:00,0,0.973,0.570541244,0.781818182,0.368421053,0.533333333,0.601851852,07:33:00,0,39.094,0,12,T29-885kg,43,14,8,504.9290005,65,165,01/01/2020 07:45,01/01/2020 15:30,01/01/1900 07:45,12,3.257833333,01/01/1900 00:17,3.775,8.20652173913043,47.3005217391304,21.75824,21.75824,10,0,22
734236,2695875,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 08:00:00,01-Jan-2020 15:34:00,0,1.0101,0.489431636,0.654545455,0.236842105,0.266666667,0.453703704,07:34:00,0,37.963,0,11,T29-885kg,36,9,4,433.146998,49,142,01/01/2020 08:00,01/01/2020 15:30,01/01/1900 07:30,0,3.451181818,01/01/1900 00:21,3.78333333333333,8.22463768115942,46.1876376811594,21.2463133333333,21.2463133333333,11,0,22
734240,2695879,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 08:00:00,01-Jan-2020 14:37:00,0,0.8827,0.471231637,0.618181818,0.210526316,0.4,0.444444444,06:37:00,0,46.908,0,10,T29-885kg,34,8,6,417.039999,48,106,01/01/2020 08:00,01/01/2020 15:30,01/01/1900 07:30,52,4.6908,01/01/1900 00:26,3.30833333333333,7.19202898550725,54.1000289855072,24.8860133333333,24.8860133333333,12,0,22
734235,2695874,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 08:01:00,01-Jan-2020 14:06:59,0,0.8121,0.488907344,0.581818182,0.315789474,0.6,0.490740741,06:06:00,0,49.426,0,12,T29-885kg,32,12,9,432.682999,53,109,01/01/2020 08:00,01/01/2020 15:30,01/01/1900 07:30,84,4.118833333,01/01/1900 00:18,3.05,6.6304347826087,56.0564347826087,25.78596,25.78596,13,0,22
734238,2695877,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 08:02:00,01-Jan-2020 11:37:00,0,0.4764,0.223613564,0.254545455,0.131578947,0.333333333,0.222222222,03:35:00,0,26.317,0,5,T29-885kg,14,5,5,197.898004,24,57,01/01/2020 08:00,01/01/2020 15:30,01/01/1900 07:30,235,5.2634,01/01/1900 00:31,1.79166666666667,3.89492753623188,30.2119275362319,13.8974866666667,13.8974866666667,14,0,22
734243,2695882,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 08:02:00,01-Jan-2020 15:55:00,0,1.0531,0.387918649,0.490909091,0.184210526,0.333333333,0.361111111,07:53:00,0,48.513,0,8,T29-885kg,27,7,5,343.308004,39,104,01/01/2020 08:00,01/01/2020 15:30,01/01/1900 07:30,0,6.064125,01/01/1900 00:44,3.94166666666667,8.56884057971014,57.0818405797101,26.2576466666667,26.2576466666667,15,0,22
734237,2695876,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 08:06:59,01-Jan-2020 15:43:00,0,1.0123,0.662863278,0.781818182,0.368421053,0.466666667,0.592592593,07:36:00,0,71.284,0,13,T29-885kg,43,14,7,586.634001,64,155,01/01/2020 08:00,01/01/2020 15:30,01/01/1900 07:30,0,5.483384615,01/01/1900 00:23,3.8,8.26086956521739,79.5448695652174,36.59064,36.59064,16,0,22
734244,2695883,513,Coulsdon DFC,01/01/2020 00:00:00,01-Jan-2020 08:10:00,01-Jan-2020 15:44:00,0,1.0079,0.490888142,0.6,0.289473684,0.466666667,0.472222222,07:34:00,0,45.599,0,10,T29-885kg,33,11,7,434.436006,51,110,01/01/2020 08:00,01/01/2020 15:30,01/01/1900 07:30,0,4.5599,01/01/1900 00:31,3.78333333333333,8.22463768115942,53.8236376811594,24.7588733333333,24.7588733333333,17,0,22
